,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,query,snippet,source,sponsored,state,stations,url
0,San Francisco,Doximity,US,"Tue, 11 Oct 2016 03:29:16 GMT",false,"San Francisco, CA","San Francisco, CA 94107",30+ days ago,false,788fdeb8484613ca,Data Scientist - Growth (remote OK),37.76923,-122.39011,"indeed_clk(this,'2266');",data+scientist,"As a Data Scientist, you'll work closely with product managers, product designers, engineers, as well as other data scientists to come up with creative...",Doximity,false,CA,,http://www.indeed.com/viewjob?jk=788fdeb8484613ca&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
1,San Ramon Village,GE Digital,US,"Tue, 15 Nov 2016 02:00:47 GMT",false,"San Ramon Village, CA","San Ramon Village, CA",3 days ago,true,3169483be454bba4,Data Scientist,37.71978,-121.92857,"indeed_clk(this,'2266');",data+scientist,"Qualifications/Requirements for a Principal Data Scientist. Gather and analyze data, devise innovative data science solutions and build prototypes....",Indeed,false,CA,,http://www.indeed.com/viewjob?jk=3169483be454bba4&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
2,Santa Clara,Intel,US,"Wed, 09 Nov 2016 05:21:34 GMT",false,"Santa Clara, CA","Santa Clara, CA 95052",9 days ago,false,e938e7fdb4f1bab5,Data Scientist,37.354397,-121.95055,"indeed_clk(this,'2266');",data+scientist,"Background in deep learning, machine learning &amp; big data. What you will be working on....",Intel,false,CA,,http://www.indeed.com/viewjob?jk=e938e7fdb4f1bab5&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
3,New York,Morgan Stanley,US,"Mon, 10 Oct 2016 17:51:58 GMT",false,"New York, NY","New York, NY 10032",30+ days ago,false,fe65822ddca4a793,Data Scientist / Modeler,40.839622,-73.941025,"indeed_clk(this,'2266');",data+scientist,"Proficiency working with large datasets, data mining, statistical methods, numerical methods, algorithm design and implementation....",Morgan Stanley,false,NY,,http://www.indeed.com/viewjob?jk=fe65822ddca4a793&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
4,Research Triangle Park,Sciome LLC,US,"Fri, 18 Nov 2016 18:39:35 GMT",false,"Research Triangle Park, NC","Research Triangle Park, NC",3 hours ago,true,92ed8fb391d3905f,Data Scientist – Text-mining and Natural Language Processing,35.895603,-78.85714,"indeed_clk(this,'2266');",data+scientist,"Data Scientist – Text-mining and Natural Language Processing*. Development and implementation of novel methods for data extraction from free text data,...",Indeed,false,NC,,http://www.indeed.com/viewjob?jk=92ed8fb391d3905f&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
5,Mountain View,Beepi,US,"Tue, 08 Nov 2016 22:53:57 GMT",false,"Mountain View, CA","Mountain View, CA",9 days ago,true,073425d901c6318d,"Data Scientist, Pricing",37.384617,-122.08242,"indeed_clk(this,'2266');",data+scientist,"Communicate data analysis and findings through effective data visualizations. Wrangle, extract, transform, and load data from various databases, formats, and...",Beepi,false,CA,,http://www.indeed.com/viewjob?jk=073425d901c6318d&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
6,Mountain View,Google,US,"Thu, 03 Nov 2016 10:27:06 GMT",false,"Mountain View, CA","Mountain View, CA",15 days ago,false,6ee3a7468247e7a7,"Data Scientist / Quantitative Analyst, Engineering",37.384617,-122.08242,"indeed_clk(this,'2266');",data+scientist,"(e.g., as a statistician / data scientist / computational biologist / bioinformatician). As a Data Scientist, you will evaluate and improve Google's products....",Google,false,CA,,http://www.indeed.com/viewjob?jk=6ee3a7468247e7a7&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
7,Seattle,Starbucks,US,"Sat, 12 Nov 2016 07:24:35 GMT",false,"Seattle, WA","Seattle, WA 98109",6 days ago,false,403da2ddfb1d2a14,"data scientist, Business Strategy - Seattle, WA",47.626373,-122.34066,"indeed_clk(this,'2266');",data+scientist,"As a data scientist on the. Apply data analysis, data mining and data engineering to accurately develop, automate and operationalize successful experiments....",Starbucks,false,WA,,http://www.indeed.com/viewjob?jk=403da2ddfb1d2a14&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
8,Remote,Fractl,US,"Tue, 11 Oct 2016 07:13:25 GMT",false,Remote,Remote,30+ days ago,true,c7c6c83897704934,Freelance Data Scientist,25.0,-40.0,"indeed_clk(this,'2266');",data+scientist,"We’re looking for a Data Scientist who can reveal the most interesting and surprising findings in data he/she collects, cleans, models and tests....",Fractl,false,,,http://www.indeed.com/viewjob?jk=c7c6c83897704934&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
9,Menlo Park,Facebook,US,"Fri, 21 Oct 2016 02:20:15 GMT",false,"Menlo Park, CA","Menlo Park, CA",28 days ago,false,e306892c6402b58f,"Data Scientist, Analytics",37.453297,-122.18132,"indeed_clk(this,'2266');",data+scientist,"Responsibilities Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users...",Facebook,false,CA,,http://www.indeed.com/viewjob?jk=e306892c6402b58f&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
